Question ID,Question,Response,Response Type,Evidence,Evidence Location,Comments,Expiration Date
EXAMPLE,Do you enforce MFA for all users? - example row - replace or delete,Yes MFA is enforced for all users via authenticator app and hardware security keys,Yes,IdP MFA configuration screenshot,Access control policy p.4,Example answer - delete this row before submitting,
C-1,Do you maintain a formal information security program (ISMS)?,,,,,,
C-2,Are you certified against ISO 27001 SOC 2 Type II HITRUST or PCI DSS? Please attach certificates or audit reports.,,,,,,
C-3,Is MFA enforced for administrative accounts remote access and cloud services?,,,,,,
C-4,Are privileged accounts monitored and are user access reviews performed periodically?,,,,,,
C-5,Is data encrypted at rest and which standard is used (for example AES-256)?,,,,,,
C-6,Is data encrypted in transit and which TLS version is enforced (for example TLS 1.2+)?,,,,,,
C-7,Are encryption keys managed securely and are backups encrypted?,,,,,,
C-8,Are security logs centrally collected and continuously monitored using a SIEM and how long are they retained?,,,,,,
C-9,Do you conduct regular vulnerability scans and an annual penetration test?,,,,,,
C-10,Is patch management performed and are critical vulnerabilities remediated within defined timelines?,,,,,,
C-11,Do you maintain a documented and tested incident response plan and what is your breach notification timeline?,,,,,,
C-12,Do you maintain business continuity and disaster recovery plans and what are your RTO and RPO targets?,,,,,,
C-13,Are backups tested for restoration regularly?,,,,,,
C-14,Are firewalls deployed and is network segmentation implemented?,,,,,,
C-15,Is mandatory security awareness training provided to all employees?,,,,,,
C-16,What personal data do you process and do you support data subject rights requests?,,,,,,
C-17,Do you perform cross-border data transfers and which transfer mechanisms (for example SCCs) are used?,,,,,,
C-18,Do you process protected health information (PHI) and is a Business Associate Agreement (BAA) available?,,,,,,
C-19,Do you use subprocessors and how are they assessed and monitored?,,,,,,
C-20,What is your data retention and secure deletion practice?,,,,,,
