Question ID,Question,Response,Response Type,Evidence,Evidence Location,Comments,Expiration Date
EXAMPLE,Do you enforce MFA for all users? - example row - replace or delete,Yes MFA is enforced for all users via authenticator app and hardware security keys,Yes,IdP MFA configuration screenshot,Access control policy p.4,Example answer - delete this row before submitting,
GOV-1,Do you maintain a formal Information Security Management System (ISMS)?,,,,,,
GOV-2,Are you certified against ISO 27001 SOC 2 Type II HITRUST or PCI DSS? Please attach certificates or audit reports.,,,,,,
GOV-3,Do you conduct periodic security risk assessments and is there a designated security officer or CISO?,,,,,,
GOV-4,Are security policies reviewed annually and acknowledged by employees?,,,,,,
ASSET-1,Do you maintain an inventory of hardware and software assets?,,,,,,
ASSET-2,Are assets classified based on sensitivity and are asset owners assigned?,,,,,,
IAM-1,Is MFA enforced for administrative accounts remote access cloud services and VPN access?,,,,,,
IAM-2,Which MFA technologies are used and are shared accounts prohibited?,,,,,,
IAM-3,Is password complexity enforced and are dormant accounts disabled automatically?,,,,,,
IAM-4,Is privileged access monitored and logged and are access reviews performed periodically?,,,,,,
ENC-1,Is data encrypted at rest and which standard is used (for example AES-256)?,,,,,,
ENC-2,Is data encrypted in transit and which TLS version is enforced (for example TLS 1.2+ or TLS 1.3)?,,,,,,
ENC-3,Are encryption keys managed securely and are backups encrypted?,,,,,,
ENC-4,Is full disk encryption enabled on endpoints?,,,,,,
LOG-1,Are security logs centrally collected and are authentication and privileged actions logged?,,,,,,
LOG-2,Are logs monitored continuously using a SIEM and how long are they retained?,,,,,,
LOG-3,Are alerts generated for suspicious activity?,,,,,,
VULN-1,Are vulnerability scans conducted regularly and are penetration tests performed annually?,,,,,,
VULN-2,Are critical vulnerabilities remediated within defined timelines and is patch management automated?,,,,,,
VULN-3,Do you use EDR or antivirus solutions?,,,,,,
IR-1,Do you maintain a formal incident response plan and is it tested?,,,,,,
IR-2,Is there a breach notification process and what is your notification timeline for customer-impacting breaches?,,,,,,
IR-3,Describe your incident escalation process.,,,,,,
BCP-1,Do you maintain business continuity and disaster recovery plans?,,,,,,
BCP-2,What are your Recovery Time Objective (RTO) and Recovery Point Objective (RPO)?,,,,,,
BCP-3,Are backups tested regularly and are disaster recovery exercises conducted annually?,,,,,,
NET-1,Are firewalls deployed and is network segmentation implemented?,,,,,,
NET-2,Are IDS/IPS systems used and is remote access secured?,,,,,,
NET-3,Are default passwords changed before deployment and are wireless networks secured?,,,,,,
DEV-1,Do you follow a Secure SDLC and are code reviews required?,,,,,,
DEV-2,Are SAST or DAST tools used and are dependencies scanned for vulnerabilities?,,,,,,
DEV-3,Are developers trained on secure coding and is production access restricted?,,,,,,
GDPR-1,Do you process personal data or special category data?,,,,,,
GDPR-2,Do you maintain a Record of Processing Activities and support Data Subject Rights requests?,,,,,,
GDPR-3,Do you have a Data Processing Agreement (DPA) and do you use subprocessors?,,,,,,
GDPR-4,Are cross-border transfers performed and which transfer mechanisms (for example SCCs) are used?,,,,,,
GDPR-5,Do you conduct DPIAs where required and what is your data retention and deletion process?,,,,,,
HIPAA-1,Do you process Protected Health Information (PHI) and are HIPAA Security Rule safeguards implemented?,,,,,,
HIPAA-2,Is a Business Associate Agreement (BAA) available and are PHI access logs maintained and is PHI encrypted?,,,,,,
TPRM-1,Do you assess vendors before onboarding and are security requirements included in contracts?,,,,,,
TPRM-2,Are vendor security reviews conducted periodically and are subprocessors monitored?,,,,,,
PHYS-1,Are data centers physically secured with badge access and visitor logs?,,,,,,
PHYS-2,Are CCTV systems deployed and is equipment securely disposed?,,,,,,
HR-1,Are background checks conducted and is security awareness training mandatory?,,,,,,
HR-2,Are termination procedures documented and is access revoked promptly upon termination?,,,,,,
AUD-1,Are internal and external security audits conducted?,,,,,,
AUD-2,Have you experienced any material security breaches in the last 3 years and are compliance exceptions tracked?,,,,,,
